1,3.3,1.0,5.0,2.3,Iris-versicolor
2,5.5,1.8,6.4,3.1,Iris-virginica
3,1.4,0.3,4.6,3.4,Iris-setosa
4,1.4,0.2,5.0,3.3,Iris-setosa
5,6.7,2.0,7.7,2.8,Iris-virginica
6,1.4,0.3,5.1,3.5,Iris-setosa
7,1.4,0.2,4.4,2.9,Iris-setosa
8,1.4,0.1,4.8,3.0,Iris-setosa
9,6.6,2.1,7.6,3.0,Iris-virginica
10,1.7,0.5,5.1,3.3,Iris-setosa
11,1.7,0.2,5.4,3.4,Iris-setosa
12,4.9,1.8,6.3,2.7,Iris-virginica
13,1.5,0.1,4.9,3.1,Iris-setosa
14,3.0,1.1,5.1,2.5,Iris-versicolor
15,3.5,1.0,5.7,2.6,Iris-versicolor
16,5.1,1.9,5.8,2.7,Iris-virginica
17,4.0,1.2,5.8,2.6,Iris-versicolor
18,3.9,1.2,5.8,2.7,Iris-versicolor
19,5.5,1.8,6.5,3.0,Iris-virginica
20,5.0,1.7,6.7,3.0,Iris-versicolor
21,4.1,1.0,5.8,2.7,Iris-versicolor
22,3.5,1.0,5.0,2.0,Iris-versicolor
23,1.6,0.2,5.1,3.8,Iris-setosa
24,1.3,0.2,4.4,3.0,Iris-setosa
25,1.9,0.4,5.1,3.8,Iris-setosa
26,5.5,2.1,6.8,3.0,Iris-virginica
27,5.0,1.9,6.3,2.5,Iris-virginica
28,4.5,1.6,6.0,3.4,Iris-versicolor
29,1.6,0.2,4.8,3.1,Iris-setosa
30,5.4,2.3,6.2,3.4,Iris-virginica
31,1.5,0.3,5.1,3.8,Iris-setosa
32,1.5,0.2,5.3,3.7,Iris-setosa
33,4.7,1.2,6.1,2.8,Iris-versicolor
34,5.8,1.6,7.2,3.0,Iris-virginica
35,1.0,0.2,4.6,3.6,Iris-setosa
36,6.7,2.2,7.7,3.8,Iris-virginica
37,1.7,0.3,5.7,3.8,Iris-setosa
38,3.7,1.0,5.5,2.4,Iris-versicolor
39,4.0,1.3,5.5,2.5,Iris-versicolor
40,1.6,0.4,5.0,3.4,Iris-setosa
41,4.8,1.8,6.2,2.8,Iris-virginica
42,5.7,2.3,6.9,3.2,Iris-virginica
43,6.1,2.3,7.7,3.0,Iris-virginica
